Year,Section,QNo,Part,MaxMark,TopicID,SubTopic,PaperURL,QID
2022,B,19,d,3,SS13,,,2022-B-Q19d




Year,Section,QNo,Part,MaxMark,TopicID,SubTopic,PaperURL,QID
2021,A1,1,,3,SS05,,,2021-A1-Q1
2021,A1,2,,3,SS05,,,2021-A1-Q2
2021,A1,3,,3,SS04,,,2021-A1-Q3
2021,A1,4,,4,SS08,,,2021-A1-Q4
2021,A1,5,,4,JS01,,,2021-A1-Q5
2021,A1,6,,4,JS01,,,2021-A1-Q6
2021,A1,7,,4,JS04,,,2021-A1-Q7
2021,A1,8,,5,JS05,,,2021-A1-Q8
2021,A1,9,,5,SS17,,,2021-A1-Q9
2021,A2,10,a,3,SS02,,,2021-A2-Q10a
2021,A2,10,b,3,SS02,,,2021-A2-Q10b
2021,A2,11,a,2,SS17,,,2021-A2-Q11a
2021,A2,11,b,2,SS17,,,2021-A2-Q11b
2021,A2,11,c,3,SS17,,,2021-A2-Q11c
2021,A2,12,a,3,SS04,,,2021-A2-Q12a
2021,A2,12,b,1,SS04,,,2021-A2-Q12b
2021,A2,12,c,3,SS04,,,2021-A2-Q12c
2021,A2,13,a,2,SS13,,,2021-A2-Q13a
2021,A2,13,b,1,SS13,,,2021-A2-Q13b
2021,A2,13,c,4,SS13,,,2021-A2-Q13c
2021,A2,14,a,2,JS03,,,2021-A2-Q14a
2021,A2,14,b,3,JS03,,,2021-A2-Q14b
2021,A2,14,c,3,JS03,,,2021-A2-Q14c
2021,B,15,a,1,SS15,,,2021-B-Q15a
2021,B,15,b,3,SS15,,,2021-B-Q15b
2021,B,16,a,3,SS08,,,2021-B-Q16a
2021,B,16,b,2,SS08,,,2021-B-Q16b
2021,B,17,a,3,SS07,,,2021-B-Q17a
2021,B,17,b,4,SS07,,,2021-B-Q17b
2021,B,18,a,2,SS14,,,2021-B-Q18a
2021,B,18,b,5,SS14,,,2021-B-Q18b
2021,B,19,a,2,SS02,,,2021-B-Q19a
2021,B,19,b,1,SS02,,,2021-B-Q19b
2021,B,19,c,4,SS13,,,2021-B-Q19c
2021,B,19,d,5,SS13,,,2021-B-Q19d


Year,Section,QNo,Part,MaxMark,TopicID,SubTopic,PaperURL,QID
2020,A1,1,,3,SS05,,,2020-A1-Q1
2020,A1,2,,3,SS04,,,2020-A1-Q2
2020,A1,3,,3,JS02,,,2020-A1-Q3
2020,A1,4,,3,JS01,,,2020-A1-Q4
2020,A1,5,,4,JS01,,,2020-A1-Q5
2020,A1,6,,4,SS08,,,2020-A1-Q6
2020,A1,7,,5,SS01,,,2020-A1-Q7
2020,A1,8,,5,JS05,,,2020-A1-Q8
2020,A1,9,,5,SS17,,,2020-A1-Q9
2020,A2,10,a,4,SS06,,,2020-A2-Q10a
2020,A2,10,b,2,SS06,,,2020-A2-Q10b
2020,A2,11,a,4,SS17,,,2020-A2-Q11a
2020,A2,11,b,2,SS17,,,2020-A2-Q11b
2020,A2,12,a,3,JS03,,,2020-A2-Q12a
2020,A2,12,b,4,JS03,,,2020-A2-Q12b
2020,A2,13,a,3,SS13,,,2020-A2-Q13a
2020,A2,13,b,4,SS13,,,2020-A2-Q13b
2020,A2,14,a,3,SS04,,,2020-A2-Q14a
2020,A2,14,b,4,SS04,,,2020-A2-Q14b
2020,B,15,a,3,SS15,,,2020-B-Q15a
2020,B,15,b,4,SS16,,,2020-B-Q15b
2020,B,16,a,3,SS08,,,2020-B-Q16a
2020,B,16,b,4,SS08,,,2020-B-Q16b
2020,B,17,a,3,SS07,,,2020-B-Q17a
2020,B,17,b,4,SS07,,,2020-B-Q17b
2020,B,18,a,3,SS14,,,2020-B-Q18a
2020,B,18,b,4,SS14,,,2020-B-Q18b
2020,B,19,a,3,SS13,,,2020-B-Q19a
2020,B,19,b,3,SS13,,,2020-B-Q19b
2020,B,19,c,3,SS13,,,2020-B-Q19c
2020,B,19,d,3,SS13,,,2020-B-Q19d
